4.1,1.0001,1,298.15,298.15,0,108.422027296966
3.7792,0.99888,0.9727,298.59,298.15,237.95,108.344623994317
3.7733,0.99693,0.95414,299.59,298.15,237.95,108.058175254101
3.7711,0.99499,0.94214,300.46,298.15,237.95,107.831009473569
3.7698,0.99305,0.93269,301.21,298.15,237.95,107.545604603939
3.7684,0.99112,0.92465,301.86,298.15,237.95,107.318966960618
3.7649,0.98918,0.91763,302.41,298.15,237.95,107.034013934512
3.7571,0.98724,0.91125,302.9,298.15,237.95,106.807770750236
3.7458,0.9853,0.90543,303.36,298.15,237.95,106.523180794449
3.7364,0.98336,0.90005,303.79,298.15,237.95,106.297284780081
3.7313,0.98142,0.89498,304.17,298.15,237.95,106.013018206385
3.729,0.97947,0.89021,304.52,298.15,237.95,105.787413414409
3.7279,0.97753,0.88565,304.81,298.15,237.95,105.503404891014
3.7269,0.97559,0.88123,305.06,298.15,237.95,105.278027985403
3.7257,0.97365,0.87695,305.27,298.15,237.95,104.994223835422
3.7241,0.97171,0.87279,305.46,298.15,237.95,104.769038419952
3.7219,0.96976,0.86873,305.62,298.15,237.95,104.485426171641
3.7191,0.96782,0.86476,305.76,298.15,237.95,104.260447299203
3.7156,0.96588,0.86087,305.89,298.15,237.95,103.977068372317
3.7114,0.96393,0.85707,306.01,298.15,237.95,103.75235750214
3.7064,0.96199,0.85335,306.12,298.15,237.95,103.469281634942
3.7009,0.96005,0.8497,306.23,298.15,237.95,103.24490060157
3.6948,0.9581,0.84614,306.35,298.15,237.95,102.962166895157
3.6884,0.95616,0.84265,306.46,298.15,237.95,102.738127401803
3.6817,0.95422,0.83924,306.58,298.15,237.95,102.455727505948
3.675,0.95227,0.8359,306.7,298.15,237.95,102.232013016819
3.6685,0.95033,0.83264,306.82,298.15,237.95,101.949931385856
3.6623,0.94839,0.82945,306.94,298.15,237.95,101.726531894114
3.6564,0.94644,0.82632,307.06,298.15,237.95,101.44476551511
3.651,0.9445,0.82324,307.18,298.15,237.95,101.221684642679
3.6461,0.94256,0.82022,307.3,298.15,237.95,100.940242474124
3.6418,0.94061,0.81726,307.42,298.15,237.95,100.717492526792
3.6379,0.93867,0.81433,307.52,298.15,237.95,100.436387942323
3.6344,0.93672,0.81143,307.63,298.15,237.95,100.213981094572
3.6314,0.93478,0.80858,307.72,298.15,237.95,99.933223173951
3.6288,0.93284,0.80575,307.81,298.15,237.95,99.7111640885125
3.6265,0.93089,0.80294,307.9,298.15,237.95,99.4307523411494
3.6244,0.92895,0.80016,307.97,298.15,237.95,99.2090351511605
3.6226,0.92701,0.79739,308.04,298.15,237.95,98.9289583842669
3.621,0.92506,0.79464,308.1,298.15,237.95,98.7075667693609
3.6195,0.92312,0.79191,308.16,298.15,237.95,98.4278036663313
3.6181,0.92117,0.78918,308.21,298.15,237.95,98.206711388273
3.6168,0.91923,0.78647,308.25,298.15,237.95,97.9272307545474
3.6156,0.91729,0.78377,308.29,298.15,237.95,97.7064017461919
3.6144,0.91534,0.78107,308.32,298.15,237.95,97.4271630294566
3.6132,0.9134,0.77838,308.35,298.15,237.95,97.2065533687426
3.612,0.91145,0.7757,308.37,298.15,237.95,96.9275113314244
3.6109,0.90951,0.77302,308.39,298.15,237.95,96.707077550202
3.6097,0.90756,0.77035,308.4,298.15,237.95,96.4281941652549
3.6084,0.90562,0.76767,308.4,298.15,237.95,96.2079072919732
3.6072,0.90368,0.76499,308.4,298.15,237.95,95.9291654577137
3.6059,0.90173,0.76231,308.39,298.15,237.95,95.70902191352
3.6046,0.89979,0.75961,308.37,298.15,237.95,95.4304320348691
3.6032,0.89784,0.75691,308.35,298.15,237.95,95.2104557158432
3.6017,0.8959,0.75421,308.31,298.15,237.95,94.93205399088
3.6002,0.89395,0.75149,308.27,298.15,237.95,94.7122916830083
3.5987,0.89201,0.74878,308.24,298.15,237.95,94.4341333524337
3.5972,0.89006,0.74607,308.21,298.15,237.95,94.2146462363638
3.5957,0.88812,0.74337,308.18,298.15,237.95,93.9367956286303
3.5942,0.88617,0.74068,308.15,298.15,237.95,93.7176482036641
3.5926,0.88423,0.73799,308.12,298.15,237.95,93.4401670558294
3.5911,0.88228,0.73531,308.1,298.15,237.95,93.2214155779937
3.5895,0.88034,0.73265,308.09,298.15,237.95,92.9443524633342
3.588,0.87839,0.73001,308.07,298.15,237.95,92.7260362428936
3.5864,0.87645,0.72738,308.07,298.15,237.95,92.449420463786
3.5849,0.8745,0.72478,308.06,298.15,237.95,92.231558746878
3.5833,0.87256,0.72219,308.06,298.15,237.95,91.9554001811259
3.5818,0.87061,0.71963,308.06,298.15,237.95,91.7379945354421
3.5803,0.86867,0.71708,308.07,298.15,237.95,91.4622878567455
3.5788,0.86672,0.71456,308.07,298.15,237.95,91.2453274328364
3.5773,0.86478,0.71205,308.09,298.15,237.95,90.9700576780992
3.5758,0.86284,0.70957,308.1,298.15,237.95,90.7535245320649
3.5743,0.86089,0.7071,308.12,298.15,237.95,90.4786718220088
3.5729,0.85895,0.70466,308.15,298.15,237.95,90.2625448720586
3.5715,0.85701,0.70225,308.17,298.15,237.95,89.9880875686196
3.57,0.85507,0.69985,308.19,298.15,237.95,89.7723450137954
3.5686,0.85313,0.69744,308.21,298.15,237.95,89.4982614990508
3.5671,0.85119,0.69505,308.23,298.15,237.95,89.2828820783188
3.5657,0.84924,0.69265,308.24,298.15,237.95,89.0091516084288
3.5642,0.8473,0.69026,308.26,298.15,237.95,88.7941151545622
3.5628,0.84536,0.68787,308.27,298.15,237.95,88.5207182011706
