4.1,283.15
3.5531,282.84
3.5305,282.91
3.5141,283
3.4956,283.08
3.4807,283.17
3.4675,283.27
3.4544,283.36
3.4412,283.46
3.4283,283.56
3.4154,283.66
3.4021,283.77
3.3885,283.87
3.3751,283.98
3.3622,284.09
3.3499,284.2
3.3383,284.31
3.3272,284.42
3.3166,284.53
3.3063,284.65
3.2963,284.77
3.2864,284.88
3.2765,285
3.2665,285.12
3.2563,285.25
3.246,285.37
3.2357,285.49
3.2252,285.62
3.2147,285.75
3.2041,285.87
3.1935,286
3.1829,286.13
3.1724,286.26
3.1619,286.39
3.1514,286.52
3.1411,286.66
3.1308,286.79
3.1207,286.92
3.1109,287.05
